Iteration, Item, Cond, Target, P_DO, P_PO
1,1,control,show,0.36319999999999975,0.6368000000000004
1,2,control,hand,0.3371999999999999,0.6628000000000002
1,3,control,give,0.6905999999999997,0.30940000000000023
1,4,control,loan,0.4462000000000004,0.5537999999999996
1,5,control,send,0.4129999999999999,0.587
1,6,control,give,0.7111999999999998,0.2888000000000001
1,7,control,post,0.43180000000000013,0.5681999999999998
1,8,control,lend,0.47259999999999996,0.5274
1,9,control,show,0.39620000000000005,0.6038
1,10,control,hand,0.33000000000000007,0.6699999999999999
1,11,control,loan,0.45519999999999966,0.5448000000000004
1,12,control,sell,0.3690000000000001,0.6309999999999999
1,13,control,send,0.40779999999999994,0.5922000000000001
1,14,control,give,0.6566000000000003,0.34339999999999976
1,15,control,post,0.4515999999999998,0.5484000000000002
1,16,control,show,0.37359999999999993,0.6264000000000001
1,17,control,hand,0.36039999999999983,0.6396000000000002
1,18,control,lend,0.47480000000000017,0.5251999999999998
1,19,control,send,0.39279999999999976,0.6072000000000002
1,20,control,show,0.38239999999999996,0.6176
1,21,control,loan,0.43420000000000036,0.5657999999999996
1,22,control,give,0.6976,0.30240000000000006
1,23,control,lend,0.48579999999999995,0.5142
1,24,control,send,0.4266,0.5733999999999999
1,25,control,give,0.6813999999999996,0.31860000000000044
1,26,control,hand,0.3513999999999998,0.6486000000000003
1,27,control,send,0.39880000000000027,0.6011999999999997
1,28,control,show,0.38959999999999995,0.6104
1,29,control,loan,0.44820000000000015,0.5517999999999998
1,30,control,hand,0.35620000000000007,0.6437999999999999
1,31,control,lend,0.5108000000000003,0.4891999999999997
1,32,control,send,0.4028000000000002,0.5971999999999998
2,1,control,show,0.3925999999999998,0.6074000000000003
2,2,control,hand,0.3292,0.6708000000000001
2,3,control,give,0.6863999999999999,0.31360000000000005
2,4,control,loan,0.43480000000000046,0.5651999999999995
2,5,control,send,0.40939999999999965,0.5906000000000003
2,6,control,give,0.6882000000000001,0.31179999999999986
2,7,control,post,0.41959999999999975,0.5804000000000001
2,8,control,lend,0.4946000000000001,0.5053999999999998
2,9,control,show,0.3613999999999998,0.6386000000000002
2,10,control,hand,0.3694000000000004,0.6305999999999996
2,11,control,loan,0.43360000000000004,0.5663999999999999
2,12,control,sell,0.34779999999999966,0.6522000000000004
2,13,control,send,0.38960000000000017,0.6103999999999999
2,14,control,give,0.6762000000000002,0.32379999999999975
2,15,control,post,0.42980000000000035,0.5701999999999997
2,16,control,show,0.37900000000000006,0.6209999999999999
2,17,control,hand,0.3478000000000001,0.6521999999999999
2,18,control,lend,0.4779999999999999,0.5220000000000001
2,19,control,send,0.4129999999999999,0.5870000000000002
2,20,control,show,0.3792000000000002,0.6207999999999998
2,21,control,loan,0.43780000000000036,0.5621999999999997
2,22,control,give,0.6898000000000002,0.3101999999999999
2,23,control,lend,0.48299999999999976,0.5170000000000002
2,24,control,send,0.4109999999999998,0.5890000000000002
2,25,control,give,0.6721999999999999,0.3278
2,26,control,hand,0.35939999999999994,0.6406000000000001
2,27,control,send,0.40159999999999973,0.5984000000000003
2,28,control,show,0.39939999999999987,0.6006000000000001
2,29,control,loan,0.4582000000000001,0.5417999999999998
2,30,control,hand,0.3382000000000002,0.6617999999999997
2,31,control,lend,0.5024000000000002,0.4975999999999999
2,32,control,send,0.40640000000000015,0.5935999999999998
3,1,control,show,0.3930000000000001,0.6069999999999999
3,2,control,hand,0.33920000000000045,0.6607999999999995
3,3,control,give,0.6762000000000001,0.3237999999999999
3,4,control,loan,0.44960000000000033,0.5503999999999998
3,5,control,send,0.4061999999999997,0.5938000000000003
3,6,control,give,0.6958000000000001,0.30419999999999997
3,7,control,post,0.4112,0.5887999999999999
3,8,control,lend,0.4712,0.5287999999999999
3,9,control,show,0.3906,0.6094
3,10,control,hand,0.3352,0.6648000000000001
3,11,control,loan,0.43620000000000014,0.5637999999999999
3,12,control,sell,0.34639999999999965,0.6536000000000002
3,13,control,send,0.4071999999999998,0.5928000000000002
3,14,control,give,0.6686,0.3313999999999999
3,15,control,post,0.4136000000000001,0.5864
3,16,control,show,0.3907999999999997,0.6092000000000002
3,17,control,hand,0.3449999999999999,0.655
3,18,control,lend,0.5059999999999997,0.4940000000000002
3,19,control,send,0.39679999999999993,0.6032000000000001
3,20,control,show,0.41119999999999973,0.5888000000000002
3,21,control,loan,0.4424,0.5576
3,22,control,give,0.6970000000000004,0.3029999999999997
3,23,control,lend,0.5091999999999999,0.49080000000000007
3,24,control,send,0.41419999999999985,0.5858000000000002
3,25,control,give,0.6842000000000001,0.31579999999999986
3,26,control,hand,0.33179999999999976,0.6682000000000001
3,27,control,send,0.40679999999999983,0.5932000000000002
3,28,control,show,0.358,0.6420000000000001
3,29,control,loan,0.45099999999999985,0.5490000000000002
3,30,control,hand,0.3366000000000002,0.6633999999999998
3,31,control,lend,0.47920000000000035,0.5207999999999997
3,32,control,send,0.39120000000000005,0.6087999999999999
4,1,control,show,0.40820000000000006,0.5918
4,2,control,hand,0.30259999999999987,0.6974000000000002
4,3,control,give,0.6807999999999998,0.3192000000000001
4,4,control,loan,0.4377999999999998,0.5622000000000001
4,5,control,send,0.4224,0.5776
4,6,control,give,0.6661999999999998,0.33380000000000004
4,7,control,post,0.41620000000000007,0.5838000000000001
4,8,control,lend,0.48439999999999966,0.5156000000000003
4,9,control,show,0.3802,0.6198
4,10,control,hand,0.3677999999999998,0.6322000000000001
4,11,control,loan,0.4403999999999999,0.5596000000000001
4,12,control,sell,0.3794000000000002,0.6205999999999999
4,13,control,send,0.3991999999999998,0.6008000000000002
4,14,control,give,0.6828,0.31720000000000004
4,15,control,post,0.44039999999999985,0.5596000000000002
4,16,control,show,0.3964000000000002,0.6035999999999998
4,17,control,hand,0.32480000000000014,0.6751999999999999
4,18,control,lend,0.4851999999999999,0.5148
4,19,control,send,0.41940000000000005,0.5806
4,20,control,show,0.37639999999999996,0.6236000000000002
4,21,control,loan,0.4598000000000001,0.5401999999999998
4,22,control,give,0.6951999999999996,0.30480000000000035
4,23,control,lend,0.4918000000000005,0.5081999999999994
4,24,control,send,0.4135999999999995,0.5864000000000005
4,25,control,give,0.6805999999999998,0.31940000000000024
4,26,control,hand,0.34339999999999976,0.6566000000000002
4,27,control,send,0.41280000000000006,0.5871999999999998
4,28,control,show,0.3810000000000001,0.6189999999999999
4,29,control,loan,0.456,0.544
4,30,control,hand,0.3391999999999998,0.6608000000000002
4,31,control,lend,0.5072000000000001,0.4928
4,32,control,send,0.40240000000000015,0.5975999999999999
5,1,control,show,0.3858,0.6142000000000001
5,2,control,hand,0.3560000000000001,0.644
5,3,control,give,0.6806000000000005,0.31939999999999935
5,4,control,loan,0.4617999999999999,0.5382000000000001
5,5,control,send,0.4066000000000003,0.5933999999999997
5,6,control,give,0.6785999999999996,0.3214000000000002
5,7,control,post,0.4376,0.5623999999999999
5,8,control,lend,0.4917999999999997,0.5082000000000003
5,9,control,show,0.3449999999999999,0.655
5,10,control,hand,0.3555999999999999,0.6444000000000001
5,11,control,loan,0.42499999999999993,0.5750000000000001
5,12,control,sell,0.36460000000000004,0.6354
5,13,control,send,0.39600000000000035,0.6039999999999996
5,14,control,give,0.6597999999999998,0.34020000000000017
5,15,control,post,0.4622,0.5378000000000001
5,16,control,show,0.3897999999999999,0.6102000000000001
5,17,control,hand,0.35479999999999945,0.6452000000000007
5,18,control,lend,0.48240000000000005,0.5176
5,19,control,send,0.3777999999999999,0.6222
5,20,control,show,0.36399999999999955,0.6360000000000003
5,21,control,loan,0.4426000000000001,0.5573999999999999
5,22,control,give,0.6808,0.3191999999999999
5,23,control,lend,0.49760000000000004,0.5024
5,24,control,send,0.41920000000000035,0.5807999999999998
5,25,control,give,0.6828000000000001,0.3171999999999999
5,26,control,hand,0.34539999999999965,0.6546000000000003
5,27,control,send,0.3867999999999999,0.6132000000000001
5,28,control,show,0.38760000000000006,0.6123999999999998
5,29,control,loan,0.41979999999999995,0.5802
5,30,control,hand,0.35040000000000004,0.6496
5,31,control,lend,0.49399999999999994,0.506
5,32,control,send,0.39260000000000017,0.6073999999999998
6,1,control,show,0.38000000000000056,0.6199999999999994
6,2,control,hand,0.32300000000000006,0.677
6,3,control,give,0.6647999999999995,0.3352000000000005
6,4,control,loan,0.42759999999999987,0.5724000000000001
6,5,control,send,0.4072000000000001,0.5928
6,6,control,give,0.7044000000000001,0.2955999999999999
6,7,control,post,0.4428000000000001,0.5572
6,8,control,lend,0.4841999999999999,0.5158000000000001
6,9,control,show,0.4032000000000001,0.5967999999999999
6,10,control,hand,0.3732000000000001,0.6267999999999999
6,11,control,loan,0.44999999999999984,0.5500000000000002
6,12,control,sell,0.3791999999999999,0.6208
6,13,control,send,0.4272000000000001,0.5728
6,14,control,give,0.6797999999999997,0.3202000000000003
6,15,control,post,0.4321999999999996,0.5678000000000004
6,16,control,show,0.38459999999999994,0.6154000000000001
6,17,control,hand,0.35080000000000006,0.6492
6,18,control,lend,0.4923999999999999,0.5076
6,19,control,send,0.4024000000000002,0.5975999999999999
6,20,control,show,0.3699999999999998,0.6300000000000002
6,21,control,loan,0.4501999999999995,0.5498000000000005
6,22,control,give,0.6945999999999998,0.30540000000000034
6,23,control,lend,0.5029999999999999,0.4970000000000001
6,24,control,send,0.4093999999999998,0.5906000000000002
6,25,control,give,0.6934000000000002,0.30659999999999976
6,26,control,hand,0.35859999999999975,0.6414000000000002
6,27,control,send,0.3908000000000001,0.6091999999999999
6,28,control,show,0.3944000000000001,0.6055999999999999
6,29,control,loan,0.45480000000000015,0.5451999999999997
6,30,control,hand,0.31339999999999985,0.6866000000000003
6,31,control,lend,0.4832000000000005,0.5167999999999995
6,32,control,send,0.3956000000000002,0.6043999999999998
7,1,control,show,0.39140000000000064,0.6085999999999994
7,2,control,hand,0.3430000000000001,0.6569999999999999
7,3,control,give,0.6741999999999999,0.3258000000000001
7,4,control,loan,0.4531999999999996,0.5468000000000004
7,5,control,send,0.39419999999999994,0.6058000000000001
7,6,control,give,0.6830000000000002,0.31699999999999984
7,7,control,post,0.4234000000000001,0.5765999999999999
7,8,control,lend,0.486,0.514
7,9,control,show,0.40239999999999965,0.5976000000000004
7,10,control,hand,0.33459999999999984,0.6654000000000001
7,11,control,loan,0.4411999999999999,0.5588000000000002
7,12,control,sell,0.35400000000000015,0.6459999999999999
7,13,control,send,0.40380000000000016,0.5961999999999998
7,14,control,give,0.654,0.3459999999999999
7,15,control,post,0.43199999999999994,0.5680000000000001
7,16,control,show,0.3728,0.6272000000000001
7,17,control,hand,0.3237999999999995,0.6762000000000006
7,18,control,lend,0.5004,0.49960000000000004
7,19,control,send,0.41139999999999977,0.5886000000000002
7,20,control,show,0.3851999999999999,0.6148000000000002
7,21,control,loan,0.44039999999999935,0.5596000000000005
7,22,control,give,0.6788000000000003,0.32119999999999976
7,23,control,lend,0.4862000000000001,0.5137999999999999
7,24,control,send,0.4037999999999997,0.5962000000000002
7,25,control,give,0.6888000000000002,0.3111999999999998
7,26,control,hand,0.3369999999999995,0.6630000000000005
7,27,control,send,0.40320000000000034,0.5967999999999997
7,28,control,show,0.37639999999999996,0.6236
7,29,control,loan,0.4044000000000002,0.5955999999999999
7,30,control,hand,0.3337999999999999,0.6662
7,31,control,lend,0.4875999999999996,0.5124000000000004
7,32,control,send,0.40480000000000027,0.5951999999999997
8,1,control,show,0.3872,0.6128
8,2,control,hand,0.3623999999999996,0.6376000000000004
8,3,control,give,0.6894,0.3106
8,4,control,loan,0.45099999999999985,0.5490000000000003
8,5,control,send,0.37799999999999967,0.6220000000000002
8,6,control,give,0.6908000000000003,0.30919999999999964
8,7,control,post,0.41840000000000005,0.5816
8,8,control,lend,0.5095999999999999,0.4904000000000001
8,9,control,show,0.3906000000000001,0.6093999999999999
8,10,control,hand,0.35100000000000003,0.6489999999999998
8,11,control,loan,0.4549999999999998,0.5450000000000003
8,12,control,sell,0.3764000000000003,0.6235999999999997
8,13,control,send,0.4044,0.5956
8,14,control,give,0.6786,0.3213999999999999
8,15,control,post,0.43879999999999975,0.5612000000000003
8,16,control,show,0.37099999999999944,0.6290000000000004
8,17,control,hand,0.33759999999999973,0.6624000000000002
8,18,control,lend,0.5090000000000001,0.49099999999999977
8,19,control,send,0.4104000000000001,0.5896
8,20,control,show,0.3566000000000002,0.6433999999999997
8,21,control,loan,0.43020000000000025,0.5697999999999998
8,22,control,give,0.6711999999999996,0.3288000000000005
8,23,control,lend,0.48879999999999973,0.5112000000000002
8,24,control,send,0.4043999999999998,0.5956000000000004
8,25,control,give,0.6861999999999998,0.31380000000000025
8,26,control,hand,0.34599999999999975,0.6540000000000001
8,27,control,send,0.39800000000000024,0.6019999999999999
8,28,control,show,0.377,0.623
8,29,control,loan,0.4638000000000004,0.5361999999999996
8,30,control,hand,0.332,0.6679999999999999
8,31,control,lend,0.48700000000000027,0.5129999999999998
8,32,control,send,0.40900000000000025,0.5909999999999997
9,1,control,show,0.4077999999999998,0.5922000000000002
9,2,control,hand,0.34979999999999994,0.6502000000000002
9,3,control,give,0.6853999999999999,0.3146000000000001
9,4,control,loan,0.4679999999999994,0.5320000000000006
9,5,control,send,0.41160000000000063,0.5883999999999994
9,6,control,give,0.6589999999999998,0.3410000000000002
9,7,control,post,0.4426000000000004,0.5573999999999996
9,8,control,lend,0.48719999999999986,0.5128000000000001
9,9,control,show,0.3984000000000001,0.6015999999999999
9,10,control,hand,0.34079999999999977,0.6592000000000002
9,11,control,loan,0.4357999999999999,0.5642000000000001
9,12,control,sell,0.3572000000000005,0.6427999999999995
9,13,control,send,0.40980000000000005,0.5902
9,14,control,give,0.5799999999999998,0.42000000000000015
9,15,control,post,0.4705999999999999,0.5294000000000002
9,16,control,show,0.3969999999999999,0.603
9,17,control,hand,0.3458000000000001,0.6541999999999999
9,18,control,lend,0.4868000000000004,0.5131999999999995
9,19,control,send,0.3929999999999999,0.6070000000000001
9,20,control,show,0.3933999999999997,0.6066000000000003
9,21,control,loan,0.45159999999999995,0.5484
9,22,control,give,0.6805999999999999,0.3194000000000001
9,23,control,lend,0.4819999999999999,0.5180000000000001
9,24,control,send,0.4029999999999999,0.5970000000000001
9,25,control,give,0.6884000000000001,0.3116
9,26,control,hand,0.33040000000000047,0.6695999999999996
9,27,control,send,0.41300000000000003,0.587
9,28,control,show,0.3749999999999998,0.6250000000000003
9,29,control,loan,0.4328000000000003,0.5671999999999996
9,30,control,hand,0.33740000000000003,0.6626
9,31,control,lend,0.48559999999999975,0.5144000000000002
9,32,control,send,0.4111999999999998,0.5888000000000002
10,1,control,show,0.38639999999999974,0.6136000000000003
10,2,control,hand,0.3188000000000007,0.6811999999999993
10,3,control,give,0.6787999999999998,0.3212000000000002
10,4,control,loan,0.41379999999999995,0.5862
10,5,control,send,0.4068000000000003,0.5931999999999997
10,6,control,give,0.6534000000000002,0.3465999999999999
10,7,control,post,0.43239999999999973,0.5676000000000003
10,8,control,lend,0.49519999999999986,0.5048000000000002
10,9,control,show,0.38060000000000005,0.6193999999999998
10,10,control,hand,0.35699999999999965,0.6430000000000003
10,11,control,loan,0.4316000000000002,0.5683999999999998
10,12,control,sell,0.3674000000000001,0.6325999999999998
10,13,control,send,0.41260000000000024,0.5873999999999997
10,14,control,give,0.6902000000000001,0.3098
10,15,control,post,0.43479999999999996,0.5652
10,16,control,show,0.3994000000000001,0.6005999999999999
10,17,control,hand,0.3515999999999998,0.6484000000000001
10,18,control,lend,0.4689999999999997,0.5310000000000002
10,19,control,send,0.40299999999999975,0.5970000000000002
10,20,control,show,0.3728000000000001,0.6271999999999999
10,21,control,loan,0.42939999999999984,0.5706000000000001
10,22,control,give,0.6763999999999998,0.3236000000000002
10,23,control,lend,0.48679999999999946,0.5132000000000004
10,24,control,send,0.4010000000000001,0.599
10,25,control,give,0.6832,0.3168
10,26,control,hand,0.3343999999999999,0.6656
10,27,control,send,0.4068,0.5932000000000001
10,28,control,show,0.36799999999999966,0.6320000000000003
10,29,control,loan,0.4410000000000002,0.5589999999999998
10,30,control,hand,0.3430000000000001,0.6569999999999998
10,31,control,lend,0.48439999999999983,0.5156000000000002
10,32,control,send,0.41240000000000027,0.5875999999999998
